id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
BR010271,CC(=O)OC[C@@H]1O[C@H](NS(C)(=O)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,425.4120000000002,160.6,12,1,-1.3812999999999955,7,1
V1_5_261,O=C(O)CCc1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,328.317,136.68,8,5,-1.1175,6,2
V1_5_393,CCOP(=O)(Nc1cccc(OC[C@H]2CO2)c1)OCC,301.27900000000005,69.32000000000001,6,1,3.0572000000000017,9,2
BR020292,CC1(C)O[C@H]2O[C@H](COC(=O)/C=C/c3ccccc3)[C@H](O)[C@H]2O1,320.34100000000007,74.22000000000001,6,1,1.4803,4,3
V1_5_498,O=C1C(=Cc2ccc(O)cc2)CCCC1=Cc1ccc(O)cc1,306.361,57.53,3,2,4.317800000000004,2,3
V1_5_445,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)c([N+](=O)[O-])c1,521.4280000000002,247.96999999999997,16,7,-3.6156999999999977,8,3
BR020415,O=C(CNCCCN1CCOCC1)Nc1ccc(Cl)cc1,311.813,53.60000000000001,5,2,1.5904,7,2
BR010323,CC(=O)OC[C@@H]1O[C@H](Cl)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,453.83100000000024,125.51000000000002,10,0,1.0413999999999999,5,3
BR010338,CC(=O)N[C@@H]1[C@@H](OC2CCCCC2)O[C@@H](CO)[C@H](O)[C@H]1O,303.3549999999999,108.25000000000001,7,4,-0.7205999999999997,4,2
BR020384,O=C1/C(=C/c2ccc(Cn3cc(CCO)nn3)cc2)CC/C1=C\c1ccc(Cn2cc(CCO)nn2)cc1,510.59800000000035,118.95,9,2,2.8657000000000012,10,5
