id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount,Lipinski
philipe_S21,CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@H](COC=O)O[C@H](n2cc(COC3=CC(=O)c4ccccc4C3=O)nn2)[C@H]1OC(C)=O,571.4950000000002,188.50999999999996,15,0,0.6232999999999991,10,4,0
CHEMBL4277120,CCCOc1cccc(-c2cc(COc3ccc(F)c(C(N)=O)c3F)no2)c1,388.3700000000001,87.58,6,2,4.086500000000002,8,3,1
CHEMBL5284681,O=c1c2nc([N+](=O)[O-])cn2ccn1CCOCc1ccccc1,314.301,91.67,8,0,1.6209999999999998,6,3,1
CHEMBL4204415,CC(=O)Nc1ccc(C=CC(=O)N2CCC(c3ccc4c(c3)OCO4)C2)cn1,379.41600000000017,80.76,7,1,2.798000000000001,4,4,1
CHEMBL3832889,COc1ccc(-n2c(C)cc(CN3CCC4(CC3)OCCc3sccc34)c2C)cc1,422.59400000000016,26.63,4,0,5.228240000000006,4,5,0
CHEMBL4875168,CCC(CC)Oc1cc(/C=C/c2ccc(C(F)(F)F)cc2)c(C(=O)O)c(O)c1CC=C(C)C,462.50800000000027,66.76,4,2,7.355700000000006,9,2,0
CHEMBL4861232,CC(C)(C)c1ccc(C(=O)NN=Cc2cc(I)c(O)c(I)c2)cc1,548.1620000000001,61.69,4,2,4.662800000000004,3,2,0
CHEMBL3742298,O=C1O[C@@H](Cn2c(O)csc2=O)CN1c1ccc(-n2cc(-c3ccccn3)cn2)c(F)c1,453.4550000000001,102.47999999999999,9,1,3.0276000000000005,5,5,1
CHEMBL2370776,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNC(=O)c2ccccc2S(=O)(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1790.8820000000005,742.4000000000001,46,25,-4.996099999999987,38,5,0
CHEMBL3596968,COC(=O)c1c(O)cc(OC)cc1/C=C/c1ccc(OC)cc1,314.33700000000005,64.99000000000001,5,1,3.3664000000000023,5,2,1
CHEMBL455154,Clc1ccc(Oc2ccccc2Nc2nc3cc(Cl)ccc3[nH]2)cc1,370.23900000000003,49.94,4,2,6.405600000000003,4,4,0
CHEMBL4083518,Cc1ccc(NCc2cn(-c3ccc(C(=O)O)cc3)nc2-c2ccccc2)cc1Cl,417.8960000000001,67.15,5,2,5.811420000000004,6,4,0
CHEMBL1824615,CC(=O)NC[C@H]1CN(c2ccc(-c3csc(-c4nnc5ncccn45)c3)c(F)c2)C(=O)O1,452.4710000000002,101.72000000000001,9,1,3.1202000000000014,5,5,1
CHEMBL573348,CCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,387.41100000000023,82.85,7,1,2.2323000000000004,4,4,1
CHEMBL5194878,C=CCc1ccc(OCCC[N+](C)(C)CCCCCCCC)c(-c2ccc(OCCC[N+](C)(C)CCCCCCCC)c(CC=C)c2)c1,663.088,18.46,4,0,11.222199999999992,29,2,0
CHEMBL996,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,427.4600000000002,148.26000000000002,10,4,0.09859999999999991,7,3,1
