id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
NuBBE_1185_obabel_3D.mol2,COc1cc2c(=O)[o+]c3c(OC)c(O[C@@H]4O[C@H](COC(C)=O)[C@@H](O)[C@H](OC(C)=O)[C@H]4O)cc4c(=O)[o+]c(c1O)c2=c34,576.4630000000002,206.95,15,3,0.1050800000000004,7,5
NuBBE_2097_obabel_3D.mol2,COc1cccc(OC)c1C(=O)OCc1ccccc1,272.29999999999995,44.760000000000005,4,0,3.0608000000000013,5,2
NuBBE_2160_obabel_3D.mol2,CC(C)/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]12C,370.6210000000002,20.23,1,1,6.774600000000008,3,4
NuBBE_270_obabel_3D.mol2,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,416.42300000000006,158.3,10,6,-2.145099999999998,6,3
NuBBE_1350_obabel_3D.mol2,C[C@H]1CC[C@@H](C(C)(C)O)CC2=C1CC[C@@H]2C,222.37199999999993,20.23,1,1,3.9200000000000035,1,2
NuBBE_532_obabel_3D.mol2,COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1[C@H](C2)[N+](C)(C)CC3,356.4420000000002,47.92,5,1,3.314700000000002,3,4
NuBBE_1413_obabel_3D.mol2,COc1cc2c(cc1OC)C1C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4,394.4230000000002,63.22000000000001,6,0,4.007900000000003,2,5
NuBBE_856_obabel_3D.mol2,CC(=O)O[C@@H]1C[C@@H]2C(C)(C)C(=O)C=C[C@@]2(C)[C@@H]2CC[C@@]3(C)[C@H](C4=C[C@H](O)OC4=O)OC(=O)C4O[C@]43[C@@]12C,514.5710000000004,128.73000000000002,9,1,2.3966000000000003,2,6
NuBBE_1833_obabel_3D.mol2,CC(=O)OC[C@H]1O[C@@H](Oc2cc(OC(C)=O)cc3cc4c(c(OC(C)=O)c23)[C@H](C)O[C@H](C)[C@H]4O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,690.6510000000003,205.71999999999997,16,1,2.665400000000001,9,4
NuBBE_607_obabel_3D.mol2,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)C(=CC[C@]5(C(=O)O)CCC(C)(C)C[C@@H]54)[C@@]3(C)CC[C@H]2C1(C)C,498.74800000000045,63.60000000000001,4,1,7.804400000000009,2,5
NuBBE_952_obabel_3D.mol2,CC(=O)O[C@H]1C[C@@]2(C)[C@H](c3ccoc3)OC(=O)C3O[C@@]32[C@]2(C)C(=O)C[C@@H]3C(C)(C)OC(=O)C=C[C@]3(C)[C@H]12,512.5550000000004,121.64000000000001,9,0,3.4662000000000024,2,6
NuBBE_911_obabel_3D.mol2,CSC1C(=O)N(C)/C(=C\c2ccc(OCC=C(C)C)cc2)C(=O)N1C,360.4790000000001,49.85,5,0,2.9920000000000018,5,2
NuBBE_2435_obabel_3D.mol2,C/C=C/c1ccc(OC(C)C(=O)c2ccc(OC)c(OC)c2)c(OC)c1,356.4180000000001,53.99000000000001,5,0,4.395700000000003,8,2
NuBBE_2113_obabel_3D.mol2,C=CCCCCCCCCCCCCC,210.40499999999994,0.0,0,0,5.873500000000005,12,0
NuBBE_2486_obabel_3D.mol2,COc1cc(O)cc2c1C(=O)C1OCc3c(ccc(O)c3O)[C@H]1O2,330.29200000000003,105.45000000000002,7,3,2.0272000000000006,1,4
NuBBE_1629_obabel_3D.mol2,COC(=O)C[C@@]1(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)C[C@@H](OC(C)=O)C=CC1=O,430.5850000000002,69.67,5,0,5.8059000000000065,11,1
NuBBE_1498_obabel_3D.mol2,CCCCCCCCCCCCCCCC(=O)OCC,284.484,26.3,2,0,6.030800000000006,15,0
NuBBE_1717_obabel_3D.mol2,COC(=O)C1c2ccoc2C[C@@H]2[C@@H]1[C@@H](O)[C@H](O)[C@H]1C(C)(C)CCC[C@@]21C,362.46600000000024,79.9,5,2,2.8927000000000014,1,4
NuBBE_1841_obabel_3D.mol2,C=CCC1=C[C@@]2(OC)C(=CC1=O)O[C@@H](c1cc(OC)c(OC)c(OC)c1)[C@H]2C,386.44400000000013,63.22000000000001,6,0,3.7741000000000025,7,3
NuBBE_1380_obabel_3D.mol2,C=C[C@@](C)(O)CCC=C(C)C,154.253,20.23,1,1,2.6698000000000013,4,0
NuBBE_1410_obabel_3D.mol2,COc1cc2c(cc1OC)C(=O)[C@]1(CO2)OC(=O)c2ccc3c(c2O1)C=CC(C)(C)O3,424.40500000000014,89.52000000000001,8,0,3.408800000000002,2,5
